Species,ProteinGroup,log2_diff,log2_mean,max_cv,min_n,max_qval,p_value,p_adj
HUMAN,P14866,-0.08452225,12.374323,7.243415,3,0.000142572,0.28685266,0.53873444
HUMAN,P14868,-0.10529518,11.613722,5.0759616,3,0.000142572,0.12526128,0.39063734
HUMAN,P14923,-0.12566853,9.505814,10.14634,3,0.000142572,0.2851155,0.53757095
HUMAN,P14927,-0.0019025803,9.938552,11.308935,3,0.000142572,0.9860819,0.99030566
HUMAN,P15104,-0.09689236,10.286425,9.436408,3,0.000142572,0.35597938,0.56906945
HUMAN,P15153,-0.14238358,10.574849,9.712398,3,0.000142572,0.21602793,0.5004533
HUMAN,P15170,-0.11460018,11.064593,10.129454,3,0.000142572,0.25593722,0.5237305
HUMAN,P15291,-0.3895402,6.4866657,25.120853,3,0.000142572,0.1888681,0.47609398
HUMAN,P15311,-0.09032726,11.8474455,11.320217,3,0.000142572,0.4424568,0.61327934
HUMAN,P15336,0.014081001,9.643564,13.59658,3,0.000142572,0.8992996,0.932811
HUMAN,P15374,-0.10926628,10.000968,8.179727,3,0.000142572,0.2560869,0.5237649
HUMAN,P15531,-0.08509827,13.273215,6.0392656,3,0.000142572,0.23358548,0.512865
HUMAN,P15559,-0.20816326,9.821817,4.8415027,3,0.000142572,0.0147437835,0.063924685
HUMAN,P15586,0.12684727,9.365729,3.7552714,3,0.000142572,0.032356944,0.13345598
HUMAN,P15735,0.09998417,9.131375,26.659746,3,0.000142572,0.6796757,0.7734431
HUMAN,P15880,-0.09576893,12.4943285,8.382922,3,0.000142572,0.25773513,0.524505
HUMAN,P15923,-0.32939196,6.149709,13.7946415,3,0.000142572,0.09032282,0.31604838
HUMAN,P15927,-0.21833515,11.112969,13.74471,3,0.000142572,0.13959643,0.41558933
HUMAN,P15976,-0.10411167,10.459387,10.458165,3,0.000142572,0.3483862,0.5646827
HUMAN,P16083,-0.0038146973,9.901266,7.94475,3,0.000142572,0.9632513,0.97444075
HUMAN,P16150,-0.04470539,10.070428,9.444541,3,0.000142572,0.64653224,0.74914664
HUMAN,P16152,-0.09611893,10.210133,10.939396,3,0.000142572,0.3804917,0.5816142
HUMAN,P16157,-0.12376785,11.203624,13.278881,3,0.000142572,0.36711058,0.57485384
HUMAN,P16219,-0.1968193,8.900687,12.69808,3,0.000142572,0.15110107,0.4309579
HUMAN,P16220,-0.039826393,10.656477,12.887953,3,0.000142572,0.76509196,0.83614206
HUMAN,P16278,-0.08311081,10.127469,14.891604,3,0.000142572,0.5205422,0.66385466
HUMAN,P16298,0.13863373,9.112,32.3455,3,0.000142572,0.65579367,0.7569181
HUMAN,P16333,-0.08021927,9.3216915,16.644659,3,0.000142572,0.581433,0.7029781
HUMAN,P16383,-0.06895733,10.17758,13.76682,3,0.000142572,0.64344615,0.7475601
HUMAN,P16401,0.035185814,10.245255,6.479146,3,0.000142572,0.5995121,0.7168744
HUMAN,P16435,-0.17231369,9.068025,8.399924,3,0.000142572,0.0871684,0.30786708
HUMAN,P16591,0.3422799,7.75361,35.176636,3,0.00025990902,0.35299468,0.5673179
HUMAN,P16615,-0.05064583,10.280757,8.911068,3,0.000142572,0.5974943,0.71518594
HUMAN,P16930,-0.16152763,9.888628,10.774457,3,0.000142572,0.2055854,0.4922422
HUMAN,P16949,-0.10546684,13.963571,13.136366,3,0.000142572,0.4278543,0.6062761
HUMAN,P16989,-0.07325077,12.446001,4.658486,3,0.000142572,0.18349934,0.47000504
HUMAN,P17028,-0.21300793,8.283079,25.289877,3,0.000142572,0.41382053,0.5967944
HUMAN,P17066,-0.0355978,14.188385,4.0127335,3,0.000142572,0.44285738,0.6133696
HUMAN,P17096,-0.06781101,12.787829,7.534764,3,0.000142572,0.385802,0.5834106
HUMAN,P17152,-0.056974888,7.1975026,24.948515,3,0.000142572,0.82352215,0.87980914
HUMAN,P17174,-0.08391094,10.957628,5.680722,3,0.000142572,0.2401044,0.5149933
HUMAN,P17252,-0.06419277,9.679865,6.845123,3,0.000142572,0.4350404,0.6097756
HUMAN,P17480,-0.081160545,10.286783,10.414455,3,0.000142572,0.5061649,0.65387845
HUMAN,P17482,-0.04661274,8.72466,17.985558,3,0.000142572,0.8079689,0.86859584
HUMAN,P17483,-0.052307606,7.254453,35.574932,3,0.000142572,0.88392425,0.92251366
HUMAN,P17535,-0.23857403,11.71249,18.057377,3,0.000142572,0.28498253,0.53757095
HUMAN,P17542,-0.25687027,8.347693,7.6638646,3,0.000142572,0.017504616,0.07530567
HUMAN,P17544,0.09939861,8.840948,15.584613,3,0.000142572,0.51102555,0.6574951
HUMAN,P17568,-0.09600687,7.940313,13.421144,3,0.00027401015,0.503879,0.65270853
HUMAN,P17612,-0.047986984,10.521641,19.479694,3,0.000142572,0.7974448,0.8606982
HUMAN,P17655,-0.13792038,9.972249,10.274487,3,0.000142572,0.20704162,0.49398267
HUMAN,P17676,-0.27411747,10.069986,19.353407,3,0.000142572,0.119921185,0.3797608
HUMAN,P17706,-0.17082977,9.154444,11.115718,3,0.000142572,0.17627974,0.46259204
HUMAN,P17812,-0.07689953,10.275583,8.395318,3,0.000142572,0.3861566,0.58368504
HUMAN,P17844,-0.09470749,12.656946,5.5285015,3,0.000142572,0.17692396,0.46288234
HUMAN,P17858,-0.13468933,10.112762,10.350472,3,0.000142572,0.25500646,0.52310514
HUMAN,P17980,-0.10526466,11.20473,6.9469237,3,0.000142572,0.21990442,0.50339365
HUMAN,P17987,-0.13037682,12.651015,5.8066225,3,0.000142572,0.10012724,0.33759716
HUMAN,P18031,-0.1028471,11.2125,11.688138,3,0.000142572,0.39326495,0.58543175
HUMAN,P18074,-0.17292118,9.556958,8.381834,3,0.000142572,0.105212264,0.34990397
HUMAN,P18077,-0.10237694,11.682838,4.4145317,3,0.000142572,0.076602146,0.28012398
HUMAN,P18085,-0.09330368,10.200417,10.385269,3,0.000142572,0.4038451,0.5919891
HUMAN,P18124,-0.10801029,12.926156,8.303455,3,0.000142572,0.29104707,0.540592
