Species,ProteinGroup,log2_diff,log2_mean,max_cv,min_n,max_qval,p_value,p_adj
HUMAN,O14579,0.0019521713,10.457398,12.353176,3,0.000142572,0.9884814,0.99997884
HUMAN,O14617,-0.089426994,9.851094,14.081247,3,0.000142572,0.5201773,0.99997884
HUMAN,O14618,0.10195637,10.156601,19.165316,3,0.000142572,0.5657954,0.99997884
HUMAN,O14641,-0.3084259,9.443219,29.920088,3,0.000142572,0.36979425,0.955585
HUMAN,O14646,-0.07970619,9.697545,10.421236,3,0.000142572,0.5112424,0.99997884
HUMAN,O14653,0.2831478,8.225743,20.959145,3,0.00027785497,0.27897272,0.8080589
HUMAN,O14662,0.16791534,8.689922,26.139643,3,0.000142572,0.5437173,0.99997884
HUMAN,O14672,-0.26317692,9.805071,15.565319,3,0.000142572,0.12512572,0.43345717
HUMAN,O14686,0.05188465,9.089798,20.230103,3,0.000142572,0.75232595,0.99997884
HUMAN,O14727,0.03426552,6.4577155,45.977417,3,0.0006317918,0.9274115,0.99997884
HUMAN,O14733,-0.10970974,8.335167,19.261084,3,0.000142572,0.58083206,0.99997884
HUMAN,O14734,-0.03187847,9.750372,37.55377,3,0.00026277755,0.93146396,0.99997884
HUMAN,O14737,0.04838085,11.132479,7.7383885,3,0.000142572,0.5836414,0.99997884
HUMAN,O14744,-0.019438744,11.579578,8.642189,3,0.000142572,0.8362709,0.99997884
HUMAN,O14745,-0.023618698,9.759723,6.2076483,3,0.000142572,0.7299277,0.99997884
HUMAN,O14757,0.069125175,10.9178915,12.639942,3,0.000142572,0.53698957,0.99997884
HUMAN,O14773,0.06779671,9.061488,18.238644,3,0.000142572,0.7144888,0.99997884
HUMAN,O14776,-0.039910316,10.731228,10.155309,3,0.000142572,0.7196065,0.99997884
HUMAN,O14777,-0.11176777,10.092039,9.960207,3,0.000142572,0.24932462,0.7528626
HUMAN,O14787,-0.07419014,8.806618,18.710947,3,0.000142572,0.7060973,0.99997884
HUMAN,O14802,-0.045431137,10.156411,8.440338,3,0.000142572,0.58182037,0.99997884
HUMAN,O14818,0.0011434555,12.868518,7.5371137,3,0.000142572,0.989028,0.99997884
HUMAN,O14828,-0.009150505,8.942706,8.698784,3,0.000142572,0.9241316,0.99997884
HUMAN,O14841,-0.11304855,10.992954,13.935299,3,0.000142572,0.38355684,0.97288066
HUMAN,O14874,-0.028595924,9.85846,15.201867,3,0.000142572,0.8335172,0.99997884
HUMAN,O14880,0.14400291,8.219011,8.349184,3,0.000142572,0.13737322,0.46789363
HUMAN,O14893,-0.06554985,8.950404,17.743893,3,0.000142572,0.69652593,0.99997884
HUMAN,O14908,0.04265213,10.013247,9.262651,3,0.000142572,0.6361095,0.99997884
HUMAN,O14920,0.05613041,8.775761,21.614082,3,0.000142572,0.7637132,0.99997884
HUMAN,O14925,0.045238495,9.409564,16.595947,3,0.000142572,0.774326,0.99997884
HUMAN,O14929,-0.017864227,11.089087,10.650247,3,0.000142572,0.86357754,0.99997884
HUMAN,O14949,0.092432976,8.885802,12.266755,3,0.000142572,0.44459543,0.99997884
HUMAN,O14950;P19105,-0.0054750443,10.943028,6.5811467,3,0.000142572,0.9283436,0.99997884
HUMAN,O14964,-0.10665703,9.267569,7.5958247,3,0.000142572,0.17207235,0.5649563
HUMAN,O14965,0.09389019,10.630716,11.619125,3,0.000142572,0.46578825,0.99997884
HUMAN,O14972,-0.027853012,7.982024,33.78593,3,0.000142572,0.9339084,0.99997884
HUMAN,O14974,0.016780853,10.450411,8.245214,3,0.000142572,0.8457197,0.99997884
HUMAN,O14976,-0.08602142,10.9716835,5.1350303,3,0.000142572,0.10799304,0.38379064
HUMAN,O14979,0.010835648,13.4135685,5.5305357,3,0.000142572,0.8560172,0.99997884
HUMAN,O14980,-0.044516563,11.172292,9.330053,3,0.000142572,0.678859,0.99997884
HUMAN,O14981,-0.14944172,9.080123,12.136872,3,0.000142572,0.23734468,0.72618043
HUMAN,O15014,0.014392853,8.10938,17.919971,3,0.000142572,0.92375946,0.99997884
HUMAN,O15020,-0.060534477,9.595611,18.522879,3,0.000142572,0.72590613,0.99997884
HUMAN,O15027,-0.011594772,9.93302,11.400696,3,0.000142572,0.9226328,0.99997884
HUMAN,O15042,-0.015881538,11.405621,9.8459835,3,0.000142572,0.8710402,0.99997884
HUMAN,O15047,-0.18228054,9.592597,17.90552,3,0.000142572,0.30863762,0.8602573
HUMAN,O15067,-0.0116539,12.751535,8.56251,3,0.000142572,0.9060325,0.99997884
HUMAN,O15084,-0.03271389,9.725888,12.328581,3,0.000142572,0.81599426,0.99997884
HUMAN,O15091,0.06767082,7.6650352,23.026752,3,0.000142572,0.78763026,0.99997884
HUMAN,O15111,-0.060357094,8.326739,18.085594,3,0.000142572,0.74103916,0.99997884
HUMAN,O15116,0.0178051,8.733878,7.5200915,3,0.000142572,0.8019474,0.99997884
HUMAN,O15117,0.11316919,7.51066,8.615686,3,0.000142572,0.21978238,0.6847555
HUMAN,O15127,-0.2574587,8.913057,21.685974,3,0.000142572,0.19329196,0.6209106
HUMAN,O15143,-0.07083511,10.015113,10.359846,3,0.000142572,0.52864414,0.99997884
HUMAN,O15144,-0.05566597,10.516969,8.262684,3,0.000142572,0.5495256,0.99997884
HUMAN,O15145,-0.012918472,10.18222,10.69352,3,0.000142572,0.89315814,0.99997884
HUMAN,O15160,-0.05635929,10.711362,7.1263266,3,0.000142572,0.42993778,0.99997884
HUMAN,O15164,-0.045991898,9.522881,12.459809,3,0.000142572,0.7315586,0.99997884
HUMAN,O15173,-0.06476402,9.32626,19.989178,3,0.000142572,0.707331,0.99997884
HUMAN,O15182,-0.11508703,7.466539,8.145225,3,0.000142572,0.24456543,0.7426522
HUMAN,O15212,-0.036997795,11.272013,9.575141,3,0.000142572,0.7058964,0.99997884
HUMAN,O15213,-0.11829567,9.103384,16.684149,3,0.000142572,0.48436004,0.99997884
HUMAN,O15228,-0.12200737,10.233104,15.499849,3,0.000142572,0.500854,0.99997884
HUMAN,O15234,0.08863354,6.1528287,15.944605,3,0.000142572,0.6220025,0.99997884
HUMAN,O15235,0.15232229,7.9389205,17.266222,3,0.000142572,0.3662243,0.9524482
HUMAN,O15247,0.047624588,10.294727,8.33014,3,0.000142572,0.6113258,0.99997884
HUMAN,O15258,0.33084202,9.807548,20.669628,3,0.00026277755,0.14280076,0.4835787
HUMAN,O15269,-0.07150364,10.376389,7.9856057,3,0.000142572,0.4474786,0.99997884
HUMAN,O15270,-0.024716377,8.433303,8.966884,3,0.000142572,0.7897054,0.99997884
HUMAN,O15294,-0.013504028,12.573992,10.305005,3,0.000142572,0.89884907,0.99997884
HUMAN,O15305,-0.0555048,9.528148,10.493678,3,0.000142572,0.62117404,0.99997884
HUMAN,O15318,0.05044365,9.699673,15.217004,3,0.000142572,0.7514492,0.99997884
HUMAN,O15347,0.043078423,10.910707,9.97383,3,0.000142572,0.673257,0.99997884
HUMAN,O15355,-0.005449295,11.368214,7.3539944,3,0.000142572,0.9473713,0.99997884
HUMAN,O15357,-0.047715187,9.390214,14.329024,3,0.000142572,0.7673708,0.99997884
HUMAN,O15371,0.006717682,10.31929,9.171857,3,0.000142572,0.9422775,0.99997884
HUMAN,O15372,-0.058652878,10.839462,11.419212,3,0.000142572,0.61016303,0.99997884
HUMAN,O15379,0.0047855377,8.920805,17.69818,3,0.000142572,0.98110044,0.99997884
HUMAN,O15381,0.0056171417,11.610544,8.948614,3,0.000142572,0.9515906,0.99997884
HUMAN,O15382,-0.081890106,10.253145,10.731056,3,0.000142572,0.4697447,0.99997884
HUMAN,O15392,0.0600667,7.2774158,17.479383,3,0.000142572,0.7287093,0.99997884
HUMAN,O15397,-0.0021886826,10.262796,8.871052,3,0.000142572,0.9782724,0.99997884
HUMAN,O15400,0.002064705,9.732744,7.575364,3,0.000142572,0.9807256,0.99997884
HUMAN,O15439,-0.14937592,8.306608,8.808155,3,0.000142572,0.15670903,0.5213961
HUMAN,O15446,-0.025603294,9.133012,4.4949436,3,0.000142572,0.5278183,0.99997884
HUMAN,O15479,0.002453804,11.583021,9.623849,3,0.000142572,0.97897327,0.99997884
HUMAN,O15498,0.10833931,8.8420725,27.970606,3,0.000142572,0.7229078,0.99997884
HUMAN,O15504,0.11030388,8.928053,7.2929487,3,0.000142572,0.1627048,0.5380238
HUMAN,O15511,0.0040302277,9.526847,11.496986,3,0.000142572,0.96722484,0.99997884
HUMAN,O15514,0.07297802,9.76943,14.461302,3,0.000142572,0.6471165,0.99997884
HUMAN,O15525,0.1282835,8.421312,7.070838,3,0.000142572,0.12598163,0.43574822
HUMAN,O15530,0.042521477,8.94213,12.074746,3,0.000142572,0.73680335,0.99997884
HUMAN,O15541,-0.25067616,9.048197,8.539043,3,0.000142572,0.052289505,0.19821487
HUMAN,O15550,-0.059945107,10.06381,7.3244185,3,0.000142572,0.4358329,0.99997884
HUMAN,O43143,-0.044815063,11.223367,7.8683915,3,0.000142572,0.59254384,0.99997884
HUMAN,O43148,-0.053958893,11.264545,10.454242,3,0.000142572,0.60919875,0.99997884
HUMAN,O43156,-0.17413902,10.035094,17.76171,3,0.000142572,0.3311391,0.8972801
HUMAN,O43159,-0.044013977,9.137688,11.1287155,3,0.000142572,0.7343806,0.99997884
HUMAN,O43164,0.10781956,7.894299,19.790552,3,0.000142572,0.63360274,0.99997884
HUMAN,O43169,0.05212879,9.157108,9.6628895,3,0.000142572,0.55581135,0.99997884
HUMAN,O43172,-0.024993896,10.589777,9.814275,3,0.000142572,0.7725509,0.99997884
HUMAN,O43175,-0.020953178,11.201426,6.860175,3,0.000142572,0.7780356,0.99997884
HUMAN,O43181,-0.034086227,9.947658,16.729996,3,0.000142572,0.84537274,0.99997884
HUMAN,O43182,-0.087203026,10.313467,12.819652,3,0.000142572,0.53834826,0.99997884
HUMAN,O43237,-0.04558754,10.616159,16.701422,3,0.000142572,0.75208634,0.99997884
HUMAN,O43242,0.0007581711,11.067542,7.5436964,3,0.000142572,0.99207675,0.99997884
HUMAN,O43251;Q9NWB1,0.049821854,7.8224335,18.26281,3,0.000142572,0.7493415,0.99997884
HUMAN,O43252,0.025432587,11.648445,10.0052,3,0.000142572,0.79187053,0.99997884
HUMAN,O43264,-0.053661346,11.257599,10.453191,3,0.000142572,0.6052757,0.99997884
