Species,ProteinGroup,log2_diff,log2_mean,max_cv,min_n,max_qval,p_value,p_adj
HUMAN,O00743,-0.13699055,9.734696,14.162902,3,0.00013659336,0.3472028,0.62233263
HUMAN,O00764,-0.08379364,10.608315,3.9545453,3,0.00013659336,0.102024235,0.29733777
HUMAN,O14497,-0.10465717,10.287492,7.3905582,3,0.00013659336,0.2511883,0.5528904
HUMAN,O14523,0.38916206,6.941463,24.597076,3,0.00013659336,0.1815668,0.4634821
HUMAN,O14526,0.11935997,8.444471,11.785255,3,0.00013659336,0.3550835,0.6252642
HUMAN,O14530,-0.0124025345,9.3114605,9.366081,3,0.00013659336,0.9060891,0.9433636
HUMAN,O14545,-0.20758057,9.085894,16.861021,3,0.00013659336,0.22383505,0.5234031
HUMAN,O14548,-0.13923168,9.918445,8.122616,3,0.00013659336,0.19032012,0.47883192
HUMAN,O14561,-0.14056492,11.955435,7.2162886,3,0.00013659336,0.10226157,0.2977745
HUMAN,O14562,0.011805534,9.680348,10.804662,3,0.00013659336,0.90745395,0.94449574
HUMAN,O14578,-0.32929993,8.708561,11.174692,3,0.00013659336,0.03021122,0.10023294
HUMAN,O14579,-0.15575504,10.5364,12.353176,3,0.00013659336,0.19899875,0.49121955
HUMAN,O14617,-0.040387154,9.91545,14.081247,3,0.00013659336,0.7601286,0.8494171
HUMAN,O14618,-0.15861988,10.186212,19.165316,3,0.00013659336,0.33486918,0.6139006
HUMAN,O14641,-0.2748356,9.733158,26.380198,3,0.00013659336,0.3220371,0.6081633
HUMAN,O14646,-0.04046631,9.757223,10.978843,3,0.00013659336,0.7458121,0.84078306
HUMAN,O14653,-0.32853794,8.250835,30.373205,3,0.00013659336,0.32837415,0.6105226
HUMAN,O14656,-0.2092619,9.375755,10.022558,3,0.00050813006,0.09364571,0.27707082
HUMAN,O14662,-0.193573,8.703554,26.139643,3,0.00013659336,0.41000906,0.65355694
HUMAN,O14672,0.13819313,9.863224,15.565319,3,0.00013659336,0.44413337,0.670986
HUMAN,O14686,-0.1612091,9.146478,20.230103,3,0.00013659336,0.35155427,0.6244761
HUMAN,O14727,-0.20892525,6.548722,45.977417,3,0.0006317918,0.67640483,0.79456484
HUMAN,O14733,-0.19653988,8.490594,19.261084,3,0.00013659336,0.32884642,0.6105226
HUMAN,O14734,-0.06247616,9.797799,25.63984,3,0.00026277755,0.7627373,0.85134226
HUMAN,O14737,-0.10270119,11.16035,7.1754494,3,0.00013659336,0.22249945,0.5211125
HUMAN,O14744,-0.07121277,11.625311,8.642189,3,0.00013659336,0.46948537,0.6838375
HUMAN,O14745,-0.082556725,9.813353,6.2076483,3,0.00013659336,0.25347778,0.5564904
HUMAN,O14757,-0.14437008,10.956904,5.8771486,3,0.00013659336,0.053108085,0.16793305
HUMAN,O14772,0.082173824,6.145766,26.476639,3,0.00026406127,0.7531492,0.8459726
HUMAN,O14773,-0.14551258,9.101781,18.238644,3,0.00013659336,0.41849193,0.6575336
HUMAN,O14776,-0.062187195,10.782474,10.155309,3,0.00013659336,0.5753701,0.73378974
HUMAN,O14777,-0.012001038,10.152854,7.288559,3,0.00013659336,0.8668557,0.9195315
HUMAN,O14787,-0.15601349,8.92335,15.206217,3,0.00013659336,0.39643717,0.6458349
HUMAN,O14802,-0.06527424,10.211954,12.378474,3,0.00013659336,0.60424477,0.75216776
HUMAN,O14818,-0.06237507,12.899471,6.8203397,3,0.00013659336,0.41324815,0.65515876
HUMAN,O14828,-0.05055237,8.972772,14.003866,3,0.00013659336,0.71254957,0.818279
